Longitude,Latitude,Species
20.01,40.17,MyotisAlcathoe
24.09,42.73,MyotisAlcathoe
23.15,41.76,MyotisAlcathoe
27.07,42.30,MyotisAlcathoe
23.44,43.01,MyotisAlcathoe
23.44,43.16,MyotisAlcathoe
27.42,42.01,MyotisAlcathoe
7.95,48.63,MyotisAlcathoe
7.95,48.64,MyotisAlcathoe
7.91,48.51,MyotisAlcathoe
7.91,48.52,MyotisAlcathoe
11.04,51.38,MyotisAlcathoe
21.49,39.05,MyotisAlcathoe
24.13,41.21,MyotisAlcathoe
22.01,39.07,MyotisAlcathoe
24.35,41.21,MyotisAlcathoe
24.28,41.24,MyotisAlcathoe
21.41,38.55,MyotisAlcathoe
21.53,38.48,MyotisAlcathoe
25.05,41.19,MyotisAlcathoe
24.53,41.20,MyotisAlcathoe
21.13,39.39,MyotisAlcathoe
21.11,40.11,MyotisAlcathoe
21.32,39.26,MyotisAlcathoe
20.27,47.47,MyotisAlcathoe
20.25,48.02,MyotisAlcathoe
20.62,47.95,MyotisAlcathoe
21.24,48.24,MyotisAlcathoe
20.25,48.00,MyotisAlcathoe
20.03,47.91,MyotisAlcathoe
20.27,47.58,MyotisAlcathoe
19.52,48.08,MyotisAlcathoe
20.26,47.58,MyotisAlcathoe
20.28,48.01,MyotisAlcathoe
20.33,48.06,MyotisAlcathoe
20.34,48.06,MyotisAlcathoe
20.46,47.95,MyotisAlcathoe
14.05,41.95,MyotisAlcathoe
21.32,49.58,MyotisAlcathoe
20.78,49.48,MyotisAlcathoe
20.28,49.70,MyotisAlcathoe
19.87,49.23,MyotisAlcathoe
19.91,48.21,MyotisAlcathoe
-3.00,42.20,MyotisAlcathoe
6.20,46.50,MyotisAlcathoe
27.80,41.79,MyotisAlcathoe
27.56,41.84,MyotisAlcathoe
7.79,48.82,MyotisAlcathoe
-0.31,43.45,MyotisAlcathoe
3.05,46.41,MyotisAlcathoe
2.87,45.11,MyotisAlcathoe
3.81,45.14,MyotisAlcathoe
3.08,45.78,MyotisAlcathoe
0.33,49.05,MyotisAlcathoe
-1.01,48.79,MyotisAlcathoe
0.37,49.17,MyotisAlcathoe
0.33,49.08,MyotisAlcathoe
0.33,49.17,MyotisAlcathoe
0.25,49.07,MyotisAlcathoe
0.38,49.11,MyotisAlcathoe
0.10,49.00,MyotisAlcathoe
-1.29,48.62,MyotisAlcathoe
-1.02,48.56,MyotisAlcathoe
0.63,48.55,MyotisAlcathoe
0.27,48.93,MyotisAlcathoe
0.47,48.79,MyotisAlcathoe
-0.57,48.82,MyotisAlcathoe
4.80,47.47,MyotisAlcathoe
5.05,47.12,MyotisAlcathoe
4.79,47.44,MyotisAlcathoe
-3.16,48.31,MyotisAlcathoe
-1.43,48.30,MyotisAlcathoe
-1.48,48.46,MyotisAlcathoe
-1.37,48.41,MyotisAlcathoe
-1.52,48.30,MyotisAlcathoe
-1.31,48.15,MyotisAlcathoe
-1.40,48.26,MyotisAlcathoe
-2.00,47.69,MyotisAlcathoe
-2.08,47.94,MyotisAlcathoe
-1.49,48.34,MyotisAlcathoe
-1.44,48.46,MyotisAlcathoe
-1.51,48.21,MyotisAlcathoe
-1.20,48.35,MyotisAlcathoe
-2.08,47.55,MyotisAlcathoe
-2.77,47.53,MyotisAlcathoe
-2.90,47.93,MyotisAlcathoe
-3.39,47.99,MyotisAlcathoe
-2.10,47.75,MyotisAlcathoe
-2.30,47.68,MyotisAlcathoe
-3.41,48.06,MyotisAlcathoe
-2.11,47.57,MyotisAlcathoe
-2.13,47.77,MyotisAlcathoe
-2.22,47.71,MyotisAlcathoe
1.56,46.83,MyotisAlcathoe
4.87,49.60,MyotisAlcathoe
5.13,48.53,MyotisAlcathoe
4.89,49.19,MyotisAlcathoe
5.00,48.95,MyotisAlcathoe
5.04,48.36,MyotisAlcathoe
5.25,47.88,MyotisAlcathoe
3.90,49.30,MyotisAlcathoe
4.54,48.71,MyotisAlcathoe
4.86,48.59,MyotisAlcathoe
4.92,48.00,MyotisAlcathoe
4.01,48.91,MyotisAlcathoe
4.41,48.27,MyotisAlcathoe
4.60,48.28,MyotisAlcathoe
4.84,49.43,MyotisAlcathoe
4.54,49.84,MyotisAlcathoe
4.87,49.55,MyotisAlcathoe
6.12,47.25,MyotisAlcathoe
6.08,47.24,MyotisAlcathoe
5.56,47.17,MyotisAlcathoe
5.52,47.20,MyotisAlcathoe
6.28,47.65,MyotisAlcathoe
5.83,47.32,MyotisAlcathoe
0.40,49.24,MyotisAlcathoe
0.43,49.20,MyotisAlcathoe
0.79,49.17,MyotisAlcathoe
0.45,49.42,MyotisAlcathoe
0.47,49.17,MyotisAlcathoe
1.40,49.47,MyotisAlcathoe
1.75,49.12,MyotisAlcathoe
1.69,49.12,MyotisAlcathoe
3.14,44.47,MyotisAlcathoe
3.20,44.43,MyotisAlcathoe
3.17,44.48,MyotisAlcathoe
3.09,44.50,MyotisAlcathoe
3.27,44.52,MyotisAlcathoe
3.13,44.51,MyotisAlcathoe
1.26,45.83,MyotisAlcathoe
5.15,48.58,MyotisAlcathoe
2.05,50.81,MyotisAlcathoe
2.13,50.51,MyotisAlcathoe
-1.40,47.30,MyotisAlcathoe
0.20,48.00,MyotisAlcathoe
-1.43,46.67,MyotisAlcathoe
0.17,47.58,MyotisAlcathoe
-0.19,47.49,MyotisAlcathoe
-0.22,47.50,MyotisAlcathoe
-0.25,47.50,MyotisAlcathoe
-0.10,47.48,MyotisAlcathoe
-0.05,47.50,MyotisAlcathoe
2.41,49.38,MyotisAlcathoe
-0.79,45.82,MyotisAlcathoe
-0.11,46.36,MyotisAlcathoe
-0.35,46.12,MyotisAlcathoe
-0.41,46.49,MyotisAlcathoe
-0.20,46.28,MyotisAlcathoe
6.08,44.56,MyotisAlcathoe
7.13,43.98,MyotisAlcathoe
4.34,44.45,MyotisAlcathoe
5.34,45.05,MyotisAlcathoe
4.70,45.37,MyotisAlcathoe
15.98,48.81,MyotisAlcathoe
13.90,50.07,MyotisAlcathoe
17.28,49.38,MyotisAlcathoe
13.98,50.02,MyotisAlcathoe
13.92,50.05,MyotisAlcathoe
16.12,48.90,MyotisAlcathoe
15.87,48.85,MyotisAlcathoe
17.53,49.40,MyotisAlcathoe
16.90,48.93,MyotisAlcathoe
